,Title,Author,ID,Date_updated,Rating,Pairing,Warning,Complete,Language,Word_count,Num_chapters,Num_comments,Num_kudos,Num_bookmarks,Num_hits,Date_published,Success
33,Nurmengard,violettavioletta,29599485,2021-02-20,General Audiences,"Gen, M/M",No Archive Warnings Apply,Complete Work,English,1138,1,0,16,0,147,2021-02-21,0
34,Любовь — это… не завоевывать страну любимого,WTF HP Adventurers 2021 (HP_Adventurers),29587146,2021-02-20,Mature,M/M,No Archive Warnings Apply,Complete Work,Русский,703,1,0,5,0,54,2021-02-20,0
35,Дар предсказания,WTF Fantastic Beasts 2021 (WTF_Fantastic_Beasts_2021),29588604,2021-02-20,Mature,M/M,No Archive Warnings Apply,Complete Work,Русский,2170,1,2,6,0,82,2021-02-20,0
36,Пять раз когда и один когда,WTF Fantastic Beasts 2021 (WTF_Fantastic_Beasts_2021),29588517,2021-02-21,Mature,"F/M, M/M, Other",No Archive Warnings Apply,Complete Work,Русский,237,1,2,6,0,62,2021-02-20,0
37,Dans une autre vie peut-être (par Marina Ka-Fai),Comptoir_des_auteurs,29583615,2021-02-20,General Audiences,M/M,No Archive Warnings Apply,Complete Work,Français,642,1,0,1,0,22,2021-02-20,0
38,Бархат летней ночи,WTF Grindeldore 2021 (grindeldore_1899),29566998,2021-02-19,Explicit,M/M,No Archive Warnings Apply,Complete Work,Русский,7264,1,0,6,0,118,2021-02-19,0
39,Book 1: La Vie En Rose,MelodyStar23Song,29564238,2021-02-19,Teen And Up Audiences,F/M,Choose Not To Use Archive Warnings,Work in Progress,English,5249,3,0,1,0,35,2021-02-19,0
40,Книга учета жизни,WTF Grindeldore 2021 (grindeldore_1899),29566332,2021-02-19,Mature,M/M,No Archive Warnings Apply,Complete Work,Русский,15917,1,0,6,0,82,2021-02-19,0
41,Fumes and Ghosts,almanera4,26668852,2021-02-19,General Audiences,M/M,No Archive Warnings Apply,Work in Progress,English,72910,12,34,69,8,1682,2020-09-26,1
42,Иллюзия с элементами присутствия,WTF Grindeldore 2021 (grindeldore_1899),29565204,2021-02-19,Explicit,M/M,No Archive Warnings Apply,Complete Work,Русский,1152,1,1,7,0,64,2021-02-19,0
43,Подарок с подвохом,WTF Grindeldore 2021 (grindeldore_1899),29564919,2021-02-19,Explicit,M/M,No Archive Warnings Apply,Complete Work,Русский,950,1,0,11,0,63,2021-02-19,0
44,La carta,Ainnita,29564286,2021-02-19,Explicit,M/M,No Archive Warnings Apply,Complete Work,Español,1272,1,0,0,0,37,2021-02-19,0
45,【GGAD】International House,MsSunless,21793606,2021-02-20,General Audiences,M/M,No Archive Warnings Apply,Complete Work,中文-普通话 國語,303143,142,8,98,8,2888,2019-12-14,1
46,“First Times” with Grindeldore,plum_blossom,24490249,2021-02-18,Mature,M/M,"Choose Not To Use Archive Warnings, No Archive Warnings Apply",Work in Progress,English,10998,7,32,90,4,1017,2020-06-01,1
47,Fantastic Beasts - Mysteries of the past,HannahD,29531004,2021-02-18,Teen And Up Audiences,F/M,Choose Not To Use Archive Warnings,Work in Progress,English,3860,4,0,9,1,181,2021-02-18,0
48,Call for Help,Isys Luna Skeeter (IsysSkeeter),27512935,2021-02-17,Teen And Up Audiences,M/M,No Archive Warnings Apply,Work in Progress,English,20326,10,51,321,89,7263,2020-11-10,1
49,Mai Uguale A Se Stesso [1899],Vespertilla,29514114,2021-02-17,Teen And Up Audiences,M/M,No Archive Warnings Apply,Complete Work,Italiano,800,1,0,2,0,33,2021-02-17,0
50,The Point of No Return,PlatinumPuppy,25364452,2021-02-17,Mature,M/M,Choose Not To Use Archive Warnings,Work in Progress,English,25079,4,114,434,115,5246,2020-07-18,1
51,Doing it Right,harrietriddle,28830831,2021-02-17,General Audiences,Multi,Choose Not To Use Archive Warnings,Work in Progress,English,7720,3,11,122,29,1253,2021-01-18,1
52,The Scars We Make,kandlelite,16721334,2021-02-16,Mature,M/M,No Archive Warnings Apply,Work in Progress,English,56015,36,222,416,39,7896,2018-11-24,1
53,Forsakened,CrossTheCrossedPerson,25608754,2021-02-17,General Audiences,"F/M, Gen, M/M, Multi","Graphic Depictions Of Violence, Major Character Death",Work in Progress,English,55685,7,66,359,125,8463,2020-07-30,1
54,Goatmama !,Comedy 111-1111 (CrossTheCrossedPerson),29496948,2021-02-16,Mature,"F/F, F/M, Gen, M/M",Choose Not To Use Archive Warnings,Work in Progress,English,603,1,1,1,0,24,2021-02-16,0
55,Ask GGAD,AlbusGellertAlways,19748884,2021-02-16,Mature,M/M,No Archive Warnings Apply,Complete Work,English,22010,9,170,234,9,3664,2019-07-10,1
